Vị trí,Tổng diện tích - 2018,Đất đã giao cho các đối tượng sử dụng - 2018,Đất đã giao cho các đối tượng quản lý - 2018,Tổng diện tích - 2020,Đất đã giao cho các đối tượng sử dụng - 2020,Đất đã giao cho các đối tượng quản lý - 2020,Tổng diện tích - 2021,Đất đã giao cho các đối tượng sử dụng - 2021,Đất đã giao cho các đối tượng quản lý - 2021
CẢ NƯỚC,33123.6,26842.8,6280.8,33134.3,27116.5,6280.8,33134.5,27099.9,6034.6
Đất nông nghiệp,27289.4,24456.6,2832.8,27983.5,24932.2,2832.8,27994.3,24902.5,3091.8
Đất sản xuất nông nghiệp,11498.5,11383.8,114.7,11718.4,11575.3,114.7,11693.0,11544.5,148.6
    Đất trồng cây hàng năm,6952.1,6890.7,61.4,6787.1,6717.8,61.4,6768.3,6696.3,72.0
        Đất trồng lúa,4120.5,4102.5,18.0,3940.6,3916.9,18.0,3935.4,3910.1,25.3
        Đất trồng cây hàng năm khác,2831.6,2788.2,43.4,2846.5,2800.9,43.4,2832.9,2786.2,46.7
    Đất trồng cây lâu năm,4546.4,4493.1,53.3,4931.3,4857.5,53.3,4924.7,4848.2,76.5
Đất lâm nghiệp,14940.8,12230.7,2710.1,15404.9,12505.2,2710.1,15439.7,12506.3,2933.4
    Rừng sản xuất,7480.4,6053.9,1426.5,7992.9,6375.4,1426.5,8004.3,6366.9,1637.3
    Rừng phòng hộ,5256.9,4045.0,1211.9,5118.7,3933.8,1211.9,5112.1,3914.3,1197.8
    Rừng đặc dụng,2203.5,2131.8,71.7,2293.3,2196.0,71.7,2323.3,2225.1,98.2
Đất nuôi trồng thuỷ sản,795.3,788.1,7.2,786.2,778.5,7.2,785.9,777.0,8.9
Đất làm muối,17.0,16.5,0.5,15.6,15.3,0.5,15.6,15.3,0.3
Đất nông nghiệp khác,37.8,37.5,0.3,58.5,57.9,0.3,60.1,59.4,0.7
Đất phi nông nghiệp,3773.8,1885.5,1888.3,3931.0,1996.9,1888.3,3949.2,2014.4,1934.8
Đất ở,721.7,719.6,2.1,754.3,752.5,2.1,759.5,757.7,1.9
    Đất ở đô thị,162.9,162.0,0.9,190.3,189.6,0.9,195.1,194.3,0.8
    Đất ở nông thôn,558.8,557.6,1.2,564.0,562.9,1.2,564.5,563.4,1.1
Đất chuyên dùng,1893.2,936.8,956.4,2010.9,1001.9,956.4,2024.7,1014.0,1010.7
"    Đất trụ sở cơ quan, công trình sự nghiệp",96.4,93.9,2.5,104.8,102.0,2.5,13.2,13.1,0.1
"    Đất quốc phòng, an ninh",297.7,297.6,0.1,295.9,295.8,0.1,296.5,296.5,0.1
"    Đất sản xuất, kinh doanh phi nông nghiệp",279.9,277.3,2.6,314.0,310.7,2.6,318.1,315.2,2.9
    Đất có mục đích công cộng,1219.2,268.0,951.2,1296.2,293.4,951.2,1304.7,299.7,1005.0
"Đất tôn giáo, tín ngưỡng",18.7,18.7,756.2366666666668,20.4,20.3,756.2366666666668,20.4,20.4,0.0
"Đất nghĩa trang, nghĩa địa",104.1,93.1,11.0,106.9,95.5,11.0,107.0,95.5,11.5
Đất sông suối và mặt nước chuyên dùng,984.8,66.3,918.5,987.3,75.6,918.5,986.1,247.6,738.5
Đất phi nông nghiệp khác,51.3,51.0,0.3,51.4,51.1,0.3,51.4,51.1,0.3
Đất chưa sử dụng,2060.4,500.7,1559.7,1219.8,187.4,1559.7,1191.0,183.0,1008.0
Đất bằng chưa sử dụng,212.1,16.4,195.7,191.1,3.1,195.7,194.1,5.1,189.0
Đất đồi núi chưa sử dụng,1679.8,477.6,1202.2,908.6,163.8,1202.2,877.9,157.7,720.2
Núi đá không có rừng cây,168.5,6.7,161.8,120.1,20.5,161.8,119.0,20.2,98.7
