Tổng diện tích - 2018,Đất sản xuất nông nghiệp - 2018,Đất lâm nghiệp - 2018,Đất chuyên dùng - 2018,Đất ở - 2018,Tổng diện tích - 2020,Đất sản xuất nông nghiệp - 2020,Đất lâm nghiệp - 2020,Đất chuyên dùng - 2020,Đất ở - 2020,Tổng diện tích 2021,Đất sản xuất nông nghiệp -2021,Đất lâm nghiệp - 2021,Đất chuyên dùng - 2021,Đất ở - 2021
33123.6,11498.5,14940.8,1893.2,721.7,33134.4,11718.4,15404.9,2010.9,754.3,33134.6,11620.5,15439.7,2024.7,759.5
2125.9,789.8,494.4,324.3,146.9,2127.8,776.5,515.8,346.9,149.8,2127.9,773.4,515.9,349.1,150.8
335.9,154.3,22.2,64.1,40.9,336.0,156.0,20.3,67.9,39.8,336.0,155.7,20.3,68.2,39.8
123.6,55.9,32.0,17.6,7.9,123.6,54.2,31.6,18.8,8.4,123.6,54.0,31.6,19.0,8.4
82.3,42.5,0.6,17.7,10.7,82.3,41.0,0.6,19.2,10.8,82.3,40.7,0.6,19.3,11.0
617.8,60.8,373.7,45.5,8.2,620.8,59.6,398.6,52.3,9.3,620.8,59.2,398.4,52.7,9.3
166.8,85.7,9.3,31.5,16.8,166.8,83.7,9.0,32.7,17.3,166.8,83.3,9.0,33.0,17.4
156.2,50.5,19.2,29.3,14.6,152.7,48.8,18.3,33.1,15.4,152.7,48.6,18.3,33.2,15.5
93.0,53.6,658.8088235294117,17.7,9.7,93.0,51.3,0.0,18.8,10.0,93.0,50.7,681.1441176470589,19.2,10.2
158.6,92.9,0.9,30.1,13.6,158.5,91.7,0.7,30.6,13.9,158.5,91.3,0.7,30.9,13.9
86.2,41.7,5.2,19.5,6.4,86.2,40.6,5.0,21.0,6.6,86.2,40.3,5.0,21.3,6.7
166.9,90.9,3.0,30.8,11.2,166.9,89.7,3.1,31.1,11.5,166.9,89.3,3.1,31.4,11.5
138.7,61.0,28.3,20.5,6.9,141.2,60.0,28.6,21.3,7.1,141.2,60.2,29.0,21.0,7.1
9520.0,2118.5,5435.3,331.1,112.7,9518.4,2292.4,5685.2,347.8,120.7,9518.4,2286.5,5714.6,350.9,121.5
792.9,194.4,459.1,16.9,7.1,792.8,201.2,470.9,22.5,7.8,792.8,201.3,472.8,22.6,7.8
670.0,109.2,509.2,17.0,5.6,670.0,110.0,512.3,18.7,5.5,670.0,110.0,512.3,18.6,5.5
486.0,44.2,413.3,11.8,2.6,486.0,44.4,413.5,12.4,2.7,486.0,44.3,413.4,12.7,2.7
586.8,94.8,441.5,23.4,6.1,586.8,98.4,440.8,24.1,6.5,586.8,98.2,440.7,24.3,6.6
636.4,133.5,356.3,19.5,5.2,636.4,137.5,384.1,21.5,6.0,636.4,134.2,399.5,21.9,6.0
688.7,120.1,464.7,17.8,5.6,689.3,121.6,492.8,18.4,6.7,689.3,121.5,492.8,18.6,6.7
352.7,112.1,186.7,21.7,12.3,352.2,109.9,187.1,26.6,12.8,352.2,109.8,187.0,26.9,12.9
831.0,110.8,574.3,29.6,8.2,831.0,114.8,603.0,29.6,9.2,831.0,114.6,604.0,29.7,9.3
389.6,147.5,145.7,48.4,18.6,389.6,146.6,145.8,51.7,19.7,389.6,146.0,145.7,52.2,20.0
353.5,118.2,170.4,25.9,10.6,353.5,118.1,167.6,27.4,11.2,353.5,118.0,167.5,27.7,11.3
954.1,366.3,367.6,11.0,5.0,954.0,472.5,408.4,10.5,5.6,954.0,472.3,408.4,10.7,5.6
906.9,111.1,414.4,15.3,3.0,906.9,115.9,517.9,8.8,3.9,906.9,115.6,521.9,9.0,3.9
1412.3,367.9,636.0,41.7,8.8,1411.0,409.0,644.0,42.1,8.8,1411.0,408.5,652.1,42.2,8.8
459.1,88.4,296.1,31.1,14.0,459.0,92.6,296.9,33.3,14.3,459.0,92.4,296.5,33.8,14.3
9565.3,2189.2,5748.7,567.2,190.6,9584.8,2176.3,5979.0,598.6,198.2,9584.8,2173.1,5974.3,602.7,199.5
1111.5,247.5,645.3,77.1,55.8,1111.5,244.0,652.7,79.8,56.5,1111.5,243.1,652.6,80.5,56.7
1648.1,298.7,1146.6,79.0,26.8,1648.7,292.1,1179.8,81.8,26.9,1648.6,291.5,1179.8,82.4,27.2
599.0,151.0,324.9,42.5,12.3,599.4,138.8,352.2,42.0,13.2,599.4,138.6,352.1,42.1,13.4
800.0,89.8,626.8,31.3,6.4,799.9,91.7,629.5,32.2,6.9,799.9,91.6,629.0,32.6,7.0
462.2,120.9,257.9,18.4,4.3,470.1,122.4,288.9,20.1,4.6,470.1,122.2,288.7,20.5,4.7
490.2,68.8,323.6,33.6,9.6,494.7,68.3,326.1,36.6,9.9,494.7,68.2,325.9,36.9,9.9
128.5,6.6,62.7,43.5,7.5,128.5,8.3,62.7,44.3,7.1,128.5,8.0,62.9,44.4,7.1
1057.5,219.5,667.4,43.9,20.5,1057.5,193.1,750.2,45.0,21.6,1057.5,192.9,748.1,45.1,21.6
515.6,150.9,298.7,23.4,11.7,515.5,170.8,283.0,25.9,12.0,515.5,170.8,282.9,26.0,12.1
606.6,136.7,370.1,35.5,9.5,606.6,141.6,376.5,37.3,10.4,606.6,141.1,376.4,37.9,10.5
502.3,155.7,255.5,30.3,5.5,502.6,164.6,260.4,32.0,5.8,502.6,164.5,260.3,32.1,5.8
513.8,100.2,226.7,36.3,6.7,520.0,99.0,277.1,39.3,7.6,520.0,99.0,275.7,39.8,7.7
335.5,82.5,198.5,21.7,4.9,335.5,84.8,199.0,24.3,5.4,335.6,84.4,199.5,24.0,5.4
794.4,360.4,344.0,50.7,9.1,794.3,356.9,341.0,58.1,10.3,794.3,357.1,340.4,58.4,10.3
5450.8,2427.7,2482.3,196.6,59.7,5454.8,2550.2,2435.7,217.8,59.2,5454.8,2542.7,2445.3,219.2,59.8
967.4,266.2,607.5,33.8,8.3,967.7,298.8,602.0,37.4,8.7,967.7,298.0,602.5,37.7,8.8
1551.1,800.7,587.0,52.8,18.2,1551.0,845.1,552.1,61.7,17.1,1551.0,838.1,559.9,62.2,17.2
1303.1,627.0,519.7,54.4,15.1,1307.0,655.8,527.8,57.3,16.0,1307.0,657.7,528.3,57.6,16.1
650.9,366.4,228.5,27.2,5.5,650.9,380.9,216.1,29.0,5.7,650.9,380.0,217.0,29.0,5.8
978.3,367.4,539.6,28.4,12.6,978.1,369.5,537.7,32.5,11.7,978.1,369.0,537.7,32.7,12.0
2351.9,1356.6,502.7,225.7,83.6,2355.1,1347.6,493.0,244.3,88.8,2355.1,1270.5,493.4,246.5,89.8
687.7,445.3,172.7,46.4,6.7,687.4,442.3,170.9,50.2,7.0,687.4,279.3,171.3,50.6,7.4
404.1,270.2,71.9,25.1,9.2,404.2,265.8,72.4,27.7,10.2,404.2,265.5,72.5,27.7,10.4
269.5,193.9,10.8,37.6,13.9,269.5,191.4,10.7,43.5,14.9,269.5,279.3,10.7,44.1,15.0
586.4,276.8,179.9,48.7,17.8,586.4,280.8,171.2,50.5,19.6,586.4,279.3,171.2,51.8,19.8
198.1,104.9,33.9,33.2,7.3,198.3,103.1,32.2,37.4,7.8,198.3,103.1,32.2,37.2,7.9
206.1,65.5,33.5,34.7,28.7,209.5,64.2,35.5,35.0,29.3,209.5,64.1,35.5,35.0,29.4
4081.6,2615.6,254.0,248.2,128.2,4092.2,2575.3,294.8,255.4,137.5,4092.3,2574.2,294.8,256.3,138.0
449.5,317.3,29.1,39.4,26.9,449.5,311.3,24.4,37.1,30.2,449.5,311.1,24.4,37.2,30.4
251.1,179.3,3.0,14.3,10.0,255.6,178.0,2.1,15.0,10.9,255.6,177.9,2.0,15.1,10.9
239.5,140.4,7.0,11.1,8.1,238.0,135.5,7.2,11.5,9.1,238.0,135.5,7.2,11.6,9.1
235.8,147.7,7.9,13.8,4.9,239.1,141.4,6.9,14.5,6.0,239.1,141.3,7.0,14.4,6.0
152.6,119.6,658.8088235294117,10.2,6.1,152.6,118.8,0.0,11.1,6.5,152.6,118.7,681.1441176470589,11.1,6.5
338.4,260.2,11.1,25.7,14.6,338.2,255.0,11.1,25.3,15.6,338.2,255.0,11.1,25.3,15.6
353.7,282.6,11.6,24.3,13.5,353.7,279.2,11.6,25.2,14.0,353.7,279.1,11.6,25.2,14.1
634.9,463.0,71.1,29.8,13.8,635.2,456.2,71.7,33.2,14.3,635.3,456.2,71.7,33.2,14.3
143.9,112.2,658.8088235294117,11.9,8.3,144.0,111.4,0.0,12.2,8.6,144.0,111.4,681.1441176470589,12.2,8.7
162.2,135.8,4.3,11.3,4.5,162.2,136.0,3.3,12.6,4.5,162.2,136.0,3.3,12.6,4.5
331.2,212.6,10.2,20.8,5.8,329.8,212.3,9.1,21.4,6.0,329.8,212.1,9.0,21.8,6.1
266.9,101.8,3.6,12.0,5.1,266.8,100.9,3.8,17.4,5.1,266.8,100.9,3.9,17.5,5.1
522.1,143.1,95.1,23.6,6.6,527.5,139.3,143.7,19.0,6.7,527.5,139.2,143.6,19.3,6.8
28.0,1.1,23.4,0.1,30.930000000000007,1.3,502.2171428571429,1.3,86.17857142857143,32.32857142857143,1.3,0.0,1.3,0.0,0.0
