Vị trí,Tổng diện tích - 2018,Đất sản xuất nông nghiệp - 2018,Đất lâm nghiệp - 2018,Đất chuyên dùng - 2018,Đất ở - 2018,Tổng diện tích - 2020,Đất sản xuất nông nghiệp - 2020,Đất lâm nghiệp - 2020,Đất chuyên dùng - 2020,Đất ở - 2020,Tổng diện tích - 2021,Đất sản xuất nông nghiệp - 2021,Đất lâm nghiệp - 2021,Đất chuyên dùng - 2021,Đất ở - 2021
CẢ NƯỚC,100,34.7,45.1,5.7,2.2,100,35.37,46.49,6.07,2.28,100,35.37,46.49,6.07,2.28
Đồng bằng sông Hồng,100,37.2,23.3,15.3,6.9,100,36.49,24.24,16.3,7.04,100,36.49,24.24,16.3,7.04
Hà Nội,100,45.9,6.6,19.1,12.2,100,46.42,6.05,20.2,11.83,100,46.42,6.05,20.2,11.83
Vĩnh Phúc,100,45.2,25.9,14.2,6.4,100,43.86,25.57,15.24,6.79,100,43.86,25.57,15.24,6.79
Bắc Ninh,100,51.7,0.7,21.5,13.0,100,49.82,0.68,23.34,13.11,100,49.82,0.68,23.34,13.11
Quảng Ninh,100,9.8,60.5,7.4,1.3,100,9.6,64.2,8.42,1.49,100,9.6,64.2,8.42,1.49
Hải Dương,100,51.4,5.6,18.9,10.1,100,50.19,5.42,19.61,10.34,100,50.19,5.42,19.61,10.34
Hải Phòng,100,32.3,12.3,18.8,9.3,100,31.95,12.02,21.7,10.06,100,31.95,12.02,21.7,10.06
Hưng Yên,100,57.6,36.922058823529404,19.0,10.4,100,55.13,0.0,20.19,10.7,100,55.13,0.0,20.19,10.7
Thái Bình,100,58.6,0.6,19.0,8.6,100,57.84,0.47,19.3,8.75,100,57.84,0.47,19.3,8.75
Hà Nam,100,48.4,6.0,22.6,7.4,100,47.05,5.76,24.39,7.7,100,47.05,5.76,24.39,7.7
Nam Định,100,54.5,1.8,18.5,6.7,100,53.75,1.83,18.66,6.87,100,53.75,1.83,18.66,6.87
Ninh Bình,100,44.0,20.4,14.8,5.0,100,42.48,20.27,15.1,5.04,100,42.48,20.27,15.1,5.04
Trung du và miền núi phía Bắc,100,22.3,57.1,3.5,1.2,100,24.08,59.73,3.65,1.27,100,24.08,59.73,3.65,1.27
Hà Giang,100,24.5,57.9,2.1,0.9,100,25.39,59.4,2.84,0.98,100,25.39,59.4,2.84,0.98
Cao Bằng,100,16.3,76.0,2.5,0.8,100,16.41,76.46,2.79,0.83,100,16.41,76.46,2.79,0.83
Bắc Kạn,100,9.1,85.0,2.4,0.5,100,9.14,85.09,2.56,0.55,100,9.14,85.09,2.56,0.55
Tuyên Quang,100,16.2,75.2,4.0,1.0,100,16.76,75.11,4.1,1.1,100,16.76,75.11,4.1,1.1
Lào Cai,100,21.0,56.0,3.1,0.8,100,21.6,60.36,3.38,0.95,100,21.6,60.36,3.38,0.95
Yên Bái,100,17.4,67.5,2.6,0.8,100,17.65,71.5,2.67,0.97,100,17.65,71.5,2.67,0.97
Thái Nguyên,100,31.8,52.9,6.2,3.5,100,31.21,53.13,7.55,3.63,100,31.21,53.13,7.55,3.63
Lạng Sơn,100,13.3,69.1,3.6,1.0,100,13.81,72.57,3.57,1.11,100,13.81,72.57,3.57,1.11
Bắc Giang,100,37.9,37.4,12.4,4.8,100,37.64,37.42,13.28,5.05,100,37.64,37.42,13.28,5.05
Phú Thọ,100,33.4,48.2,7.3,3.0,100,33.42,47.41,7.76,3.17,100,33.42,47.41,7.76,3.17
Điện Biên,100,38.4,38.5,1.2,0.5,100,49.52,42.81,1.1,0.59,100,49.52,42.81,1.1,0.59
Lai Châu,100,12.3,45.7,1.7,0.3,100,12.78,57.1,0.97,0.43,100,12.78,57.1,0.97,0.43
Sơn La,100,26.0,45.0,3.0,0.6,100,28.98,45.64,2.99,0.62,100,28.98,45.64,2.99,0.62
Hoà Bình,100,19.3,64.5,6.8,3.0,100,20.17,64.67,7.26,3.11,100,20.17,64.67,7.26,3.11
Bắc Trung Bộ và Duyên hải miền Trung,100,22.9,60.1,5.9,2.0,100,22.71,62.38,6.25,2.07,100,22.71,62.38,6.25,2.07
Thanh Hoá,100,22.3,58.1,6.9,5.0,100,21.95,58.73,7.18,5.08,100,21.95,58.73,7.18,5.08
Nghệ An,100,18.1,69.6,4.8,1.6,100,17.72,71.56,4.96,1.63,100,17.72,71.56,4.96,1.63
Hà Tĩnh,100,25.2,54.2,7.1,2.1,100,23.15,58.76,7.01,2.21,100,23.15,58.76,7.01,2.21
Quảng Bình,100,11.2,78.4,3.9,0.8,100,11.46,78.69,4.02,0.86,100,11.46,78.69,4.02,0.86
Quảng Trị,100,26.2,55.8,4.0,0.9,100,26.03,61.45,4.28,0.98,100,26.03,61.45,4.28,0.98
Thừa Thiên Huế,100,14.0,66.0,6.9,2.0,100,13.81,65.92,7.39,2.0,100,13.81,65.92,7.39,2.0
Đà Nẵng,100,5.1,48.8,33.9,5.8,100,6.45,48.82,34.52,5.56,100,6.45,48.82,34.52,5.56
Quảng Nam,100,20.8,63.1,4.2,1.9,100,18.26,70.94,4.25,2.04,100,18.26,70.94,4.25,2.04
Quảng Ngãi,100,29.3,57.9,4.5,2.3,100,33.13,54.89,5.03,2.32,100,33.13,54.89,5.03,2.32
Bình Định,100,22.5,61.0,5.9,1.6,100,23.34,62.07,6.14,1.71,100,23.34,62.07,6.14,1.71
Phú Yên,100,31.0,50.9,6.0,1.1,100,32.76,51.8,6.36,1.16,100,32.76,51.8,6.36,1.16
Khánh Hoà,100,19.5,44.1,7.1,1.3,100,19.05,53.29,7.57,1.47,100,19.05,53.29,7.57,1.47
Ninh Thuận,100,24.6,59.2,6.5,1.5,100,25.27,59.3,7.24,1.61,100,25.27,59.3,7.24,1.61
Bình Thuận,100,45.4,43.3,6.4,1.1,100,44.93,42.94,7.31,1.3,100,44.93,42.94,7.31,1.3
Tây Nguyên,100,44.5,45.5,3.6,1.1,100,46.75,44.65,3.99,1.09,100,46.75,44.65,3.99,1.09
Kon Tum,100,27.5,62.8,3.5,0.9,100,30.88,62.2,3.87,0.9,100,30.88,62.2,3.87,0.9
Gia Lai,100,51.6,37.8,3.4,1.2,100,54.49,35.6,3.98,1.1,100,54.49,35.6,3.98,1.1
Đắk Lắk,100,48.1,39.9,4.2,1.2,100,50.18,40.38,4.38,1.22,100,50.18,40.38,4.38,1.22
Đắk Nông,100,56.3,35.1,4.2,0.8,100,58.52,33.2,4.45,0.88,100,58.52,33.2,4.45,0.88
Lâm Đồng,100,37.6,55.2,2.9,1.3,100,37.78,54.97,3.32,1.19,100,37.78,54.97,3.32,1.19
Đông Nam Bộ,100,57.7,21.4,9.6,3.6,100,57.22,20.93,10.37,3.77,100,57.22,20.93,10.37,3.77
Bình Phước,100,64.8,25.1,6.7,1.0,100,64.34,24.86,7.3,1.02,100,64.34,24.86,7.3,1.02
Tây Ninh,100,66.9,17.8,6.2,2.3,100,65.78,17.93,6.85,2.53,100,65.78,17.93,6.85,2.53
Bình Dương,100,71.9,4.0,14.0,5.2,100,71.05,3.98,16.14,5.52,100,71.05,3.98,16.14,5.52
Đồng Nai,100,47.2,30.7,8.3,3.0,100,47.88,29.21,8.61,3.35,100,47.88,29.21,8.61,3.35
Bà Rịa - Vũng Tàu,100,53.0,17.1,16.8,3.7,100,52.0,16.23,18.84,3.92,100,52.0,16.23,18.84,3.92
TP.Hồ Chí Minh,100,31.8,16.2,16.8,13.9,100,30.65,16.95,16.72,13.99,100,30.65,16.95,16.72,13.99
