Đất sản xuất nông nghiệp - 2019,Đất lâm nghiêp - 2019,Đất chuyên dùng - 2019,Đất ở - 2019,Đất sản xuất nông nghiệp - 2020,Đất lâm nghiêp - 2020,Đất chuyên dùng - 2020,Đất ở - 2020
99.76,100.15,100.64,100.59,99.16,100.23,100.69,100.69
99.7,100.02,100.87,100.54,99.61,100.03,100.66,100.66
99.74,100.0,100.44,100.25,99.84,100.0,100.55,100.24
99.82,100.0,100.0,100.0,99.61,100.01,100.76,100.64
98.32,100.0,102.67,101.89,99.41,100.0,100.55,101.62
99.33,99.97,101.75,102.2,99.32,99.96,100.72,100.19
99.64,98.9,100.31,100.58,99.5,99.94,100.76,100.55
100.0,100.0,100.61,100.65,99.73,99.5,100.2,100.82
99.81,0.0,100.53,101.01,98.78,0.0,102.29,102.79
100.0,100.0,100.66,100.0,99.63,99.86,101.06,100.3
100.0,100.0,101.94,101.54,99.39,100.0,101.12,100.39
99.89,100.0,100.32,100.88,99.53,100.0,100.79,100.44
99.67,100.7,100.0,100.0,100.44,101.4,98.65,100.46
99.13,100.46,100.64,100.5,99.74,100.52,100.88,100.66
99.8,100.17,100.45,100.0,100.01,100.4,100.42,100.06
99.91,99.98,100.0,100.0,99.99,100.0,99.65,100.07
99.78,99.98,100.81,100.0,99.82,99.96,101.93,100.87
99.9,100.0,100.84,101.56,99.85,99.99,101.08,101.76
96.15,99.1,100.47,100.0,97.6,104.01,101.92,100.23
99.92,99.98,100.55,100.0,99.87,99.99,100.92,100.67
99.37,99.95,102.31,101.59,99.84,99.95,101.06,100.55
100.0,100.0,100.34,100.0,99.82,100.16,100.27,100.9
99.66,100.0,100.58,101.03,99.54,99.93,100.94,101.48
99.83,100.0,100.74,100.0,99.84,99.94,100.79,100.66
99.79,100.17,102.94,101.82,99.97,100.0,101.9,100.2
91.19,105.5,100.0,100.0,99.82,100.78,101.64,100.13
99.93,100.2,100.24,101.15,99.88,101.25,100.16,100.13
100.0,100.0,100.0,100.0,99.84,99.88,101.44,100.35
99.89,99.96,100.83,100.41,99.85,99.9,100.68,100.64
100.29,100.03,100.25,99.12,99.65,99.98,100.9,100.42
99.8,99.97,100.37,101.13,99.79,100.0,100.71,101.24
99.57,99.91,100.96,103.94,99.89,99.98,100.19,101.29
99.78,99.94,101.9,101.47,99.88,99.93,101.26,102.24
99.84,99.97,101.01,102.22,99.84,99.94,101.77,101.15
99.56,100.0,101.1,100.0,99.81,99.93,100.92,100.25
100.0,100.0,100.0,100.0,96.55,100.26,100.2,99.83
100.0,100.0,100.22,100.0,99.92,99.72,100.18,100.18
99.94,100.0,100.39,100.84,100.03,99.99,100.36,100.83
99.93,99.97,100.81,100.0,99.66,99.97,101.85,101.06
99.94,100.0,100.0,100.0,99.92,99.98,100.25,100.15
99.7,99.96,100.77,101.33,99.94,99.49,101.04,100.8
99.07,99.6,109.95,100.0,99.57,100.28,98.93,99.85
100.06,99.94,100.17,100.0,100.07,99.82,100.66,100.04
99.94,99.98,100.37,100.68,99.71,100.39,100.64,101.05
100.0,99.98,100.81,100.0,99.71,100.09,100.8,100.35
99.92,100.0,100.49,100.59,99.17,101.4,100.85,100.78
99.97,100.0,100.35,100.63,100.29,100.1,100.64,100.41
99.87,99.91,100.69,100.0,99.74,100.39,100.08,101.51
99.95,100.0,100.0,102.63,99.86,100.0,100.59,102.63
99.87,100.0,100.21,101.14,94.28,100.08,100.92,101.16
99.8,100.0,101.01,106.06,63.14,100.25,100.84,105.92
99.92,99.86,100.0,100.0,99.87,100.01,99.95,101.66
99.84,100.0,100.23,101.36,145.87,100.0,101.45,100.72
100.0,99.94,99.61,101.03,99.47,100.0,102.6,100.69
99.81,100.0,100.27,102.63,100.01,99.94,99.71,101.53
99.84,100.0,99.72,100.0,99.87,100.0,100.03,100.27
100.0,100.0,100.47,100.44,99.96,100.0,100.36,100.38
100.39,100.0,100.82,101.0,99.92,99.99,100.21,100.62
99.94,100.0,100.67,100.93,99.93,97.22,100.44,100.57
99.93,100.0,100.0,101.11,99.96,99.99,100.45,100.14
99.93,100.0,100.69,101.69,99.93,100.95,99.69,100.52
99.92,98.59147058823528,104.72,100.0,99.96,98.71043478260869,100.25,100.26
99.92,100.0,100.4,100.0,99.98,100.0,100.01,100.08
99.96,100.0,100.0,100.0,99.96,99.99,100.11,100.36
100.0,100.0,100.3,100.0,100.0,99.97,100.02,100.14
99.91,98.59147058823528,100.83,100.0,99.97,98.71043478260869,100.04,100.39
100.0,100.0,100.0,100.0,99.98,100.0,100.04,99.82
99.95,100.0,100.0,100.0,99.92,99.46,101.49,100.38
100.0,100.0,100.0,100.0,99.98,103.99,100.56,100.86
99.93,100.07,100.53,100.0,99.92,99.95,101.41,100.56
99.656,98.59147058823528,100.76528571428571,100.71657142857143,99.773,100.0,100.684,100.74628571428572
